City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cannonvale,-20.2833,148.7,22.66,75,100,2.69,AU,1730750590
1,port-aux-francais,-49.35,70.2167,5.95,89,99,15.81,TF,1730750591
2,puerto natales,-51.7236,-72.4875,12.25,47,75,12.86,CL,1730750592
3,nuuk,64.1835,-51.7216,-2.66,93,75,3.09,GL,1730750593
4,kodiak,57.79,-152.4072,0.73,69,0,0.0,US,1730750594
5,muisne,0.6,-80.0333,24.48,74,100,4.1,EC,1730750595
6,shakawe,-18.3667,21.85,26.01,47,100,3.92,BW,1730750597
7,duba,27.3513,35.6901,24.7,46,9,5.15,SA,1730750598
8,keflavik,64.0049,-22.5624,7.24,87,100,5.66,IS,1730750599
9,hami,42.8,93.45,9.47,30,0,1.7,CN,1730750600
10,shyroke,47.6917,33.2571,3.0,54,6,8.57,UA,1730750601
11,waitangi,-43.9535,-176.5597,11.57,77,94,1.34,NZ,1730750602
12,coquimbo,-29.9533,-71.3436,20.85,51,0,6.69,CL,1730750603
13,rio grande,-32.035,-52.0986,23.78,80,0,7.6,BR,1730750605
14,rosario do sul,-30.2583,-54.9142,27.91,72,92,2.0,BR,1730750606
15,longyearbyen,78.2186,15.6401,-2.09,64,75,3.6,SJ,1730750608
16,vilyuysk,63.7553,121.6247,-21.61,100,90,0.93,RU,1730750609
17,xining,36.6167,101.7667,3.07,72,0,0.63,CN,1730750610
18,talnakh,69.4865,88.3972,-6.09,94,67,5.47,RU,1730750611
19,robore,-18.3333,-59.75,35.05,49,40,0.0,BO,1730750613
20,weno,7.4515,151.8468,28.74,76,72,4.82,FM,1730750614
21,warwick,41.7001,-71.4162,12.47,63,75,5.14,US,1730750615
22,andergrove,-21.0833,149.1833,22.37,76,100,1.38,AU,1730750616
23,adamstown,-25.066,-130.1015,21.2,79,99,7.27,PN,1730750617
24,bilibino,68.0546,166.4372,-26.18,99,94,1.09,RU,1730750618
25,lebu,-37.6167,-73.65,13.76,68,99,2.96,CL,1730750619
26,salalah,17.0151,54.0924,26.3,72,5,1.35,OM,1730750620
27,ukata,10.8312,5.8249,23.17,32,0,2.76,NG,1730750622
28,lazaro cardenas,17.9583,-102.2,29.66,65,6,3.57,MX,1730750623
29,ipu,-4.3222,-40.7108,32.03,21,25,3.07,BR,1730750624
30,ancud,-41.8697,-73.8203,10.65,92,100,10.12,CL,1730750625
31,imbituba,-28.24,-48.6703,21.11,86,90,4.24,BR,1730750626
32,udachny,66.4167,112.4,-20.68,99,100,3.92,RU,1730750627
33,margaret river,-33.95,115.0667,14.92,78,100,7.68,AU,1730750628
34,yellowknife,62.456,-114.3525,-1.99,100,75,2.57,CA,1730750413
35,ola,59.5833,151.2833,-12.33,72,86,5.91,RU,1730750630
36,grytviken,-54.2811,-36.5092,5.28,63,100,8.38,GS,1730750632
37,qaqortoq,60.7167,-46.0333,-8.99,81,19,2.78,GL,1730750633
38,wailua homesteads,22.0669,-159.378,27.44,78,40,5.66,US,1730750634
39,n'zeto,-7.2312,12.8666,25.48,89,30,3.95,AO,1730750635
40,thompson,55.7435,-97.8558,0.09,86,75,2.57,CA,1730750636
41,manaure,11.7751,-72.4445,29.87,65,71,2.59,CO,1730750637
42,port mathurin,-19.6833,63.4167,23.7,78,98,5.5,MU,1730750638
43,blackmans bay,-43.0167,147.3167,8.62,83,0,0.89,AU,1730750639
44,st. john's,47.5649,-52.7093,2.76,66,100,7.2,CA,1730750641
45,buloh kasap,2.5536,102.764,24.23,95,100,0.51,MY,1730750642
46,albany,42.6001,-73.9662,11.27,59,100,0.89,US,1730750425
47,douliu,23.7094,120.5433,24.5,77,70,0.41,TW,1730750644
48,zouerate,22.7187,-12.4521,30.3,12,100,1.19,MR,1730750645
49,chonchi,-42.6128,-73.8092,11.18,75,100,4.89,CL,1730750646
50,evergreen,39.6333,-105.3172,1.16,83,100,2.24,US,1730750375
51,vadso,70.0744,29.7487,0.09,86,75,5.66,NO,1730750648
52,whitehorse,60.7161,-135.0538,-3.28,85,75,2.06,CA,1730750650
53,san pedro del parana,-26.8333,-56.2,27.06,76,57,1.47,PY,1730750651
54,iqaluit,63.7506,-68.5145,-5.15,74,75,2.06,CA,1730750652
55,puerto baquerizo moreno,-0.9,-89.6,24.55,61,75,6.69,EC,1730750653
56,jamestown,42.097,-79.2353,18.9,44,75,5.14,US,1730750655
57,oncativo,-31.9135,-63.682,24.88,44,54,7.36,AR,1730750656
58,nchelenge,-9.3451,28.734,23.66,67,57,0.93,ZM,1730750657
59,santa rosa de lima,13.6247,-87.8936,30.01,74,64,1.95,SV,1730750659
60,bethel,41.3712,-73.414,13.36,63,90,1.34,US,1730750660
61,kone,-21.0595,164.8658,23.81,69,38,1.54,NC,1730750661
62,bredasdorp,-34.5322,20.0403,11.07,74,67,1.94,ZA,1730750662
63,edinburgh of the seven seas,-37.0676,-12.3116,13.93,75,89,2.83,SH,1730750663
64,san luis de la loma,17.2706,-100.8939,29.15,72,30,3.25,MX,1730750664
65,karaton,-6.3424,106.1045,21.51,97,100,1.12,ID,1730750665
66,mantua,45.1667,10.7833,11.1,98,0,0.89,IT,1730750666
67,smithfield,41.922,-71.5495,11.61,67,75,2.06,US,1730750668
68,buenaventura,3.8801,-77.0312,28.06,78,40,0.0,CO,1730750669
69,popondetta,-8.7537,148.2534,23.41,91,100,1.13,PG,1730750670
70,urucara,-2.5364,-57.76,33.46,46,32,1.48,BR,1730750671
71,olinda,-8.0089,-34.8553,27.85,61,40,6.17,BR,1730750672
72,lahat,-3.8,103.5333,22.13,92,100,0.64,ID,1730750673
73,hermanus,-34.4187,19.2345,8.78,71,10,4.51,ZA,1730750674
74,isafjordur,66.0755,-23.124,2.31,82,100,1.38,IS,1730750676
75,georgetown,5.4112,100.3354,26.96,82,20,1.03,MY,1730750677
76,callao,-12.0667,-77.15,21.16,73,75,5.14,PE,1730750678
77,kingston,17.997,-76.7936,29.53,74,40,7.72,JM,1730750679
78,ushuaia,-54.8,-68.3,7.81,66,75,8.23,AR,1730750680
79,legaspi,13.1372,123.7344,23.89,94,100,1.25,PH,1730750681
80,fale old settlement,-9.3852,-171.2468,25.86,91,100,10.0,TK,1730750682
81,bratsk,56.1325,101.6142,0.27,63,97,3.9,RU,1730750683
82,howard springs,-12.497,131.047,25.95,91,100,0.93,AU,1730750684
83,agapovka,53.2973,59.1348,-2.26,67,100,2.7,RU,1730750686
84,tuy hoa,13.0833,109.3,23.48,95,70,1.18,VN,1730750687
85,olonkinbyen,70.9221,-8.7187,0.44,96,100,10.16,SJ,1730750688
86,san juan,-31.5375,-68.5364,27.65,25,0,10.11,AR,1730750689
87,kadhan,24.481,68.9859,26.4,56,0,3.43,PK,1730750690
88,badger,64.8,-147.5333,-8.99,90,100,0.67,US,1730750691
89,kapoeta,4.7717,33.5903,26.67,58,100,1.56,SS,1730750692
90,egilsstadir,65.2653,-14.3948,3.95,93,16,4.63,IS,1730750694
91,aswan,24.0934,32.907,23.61,40,0,1.54,EG,1730750551
92,rocha,-34.4833,-54.3333,18.82,96,100,9.64,UY,1730750697
93,taoudenni,22.6783,-3.9836,31.03,12,0,3.05,ML,1730750698
94,vila franca do campo,37.7167,-25.4333,21.23,99,66,4.16,PT,1730750699
95,west island,-12.1568,96.8225,25.99,89,75,6.69,CC,1730750700
96,constantia,44.1833,28.65,7.38,64,0,8.68,RO,1730750702
97,malango,-2.9627,119.9001,17.71,97,98,1.13,ID,1730750703
98,fuglafjordur,62.244,-6.814,10.03,95,100,3.64,FO,1730750704
99,lihue,21.9789,-159.3672,27.77,74,40,5.66,US,1730750705
100,broken hill,-31.95,141.4333,18.29,42,12,4.34,AU,1730750706
101,kas,36.2018,29.6377,18.19,77,1,3.19,TR,1730750707
102,marquette,46.5333,-87.6335,14.94,95,100,3.58,US,1730750708
